Quarter,Bedfordshire_S_curve,Berkshire_S_curve,Bristol_S_curve,Buckinghamshire_S_curve,Cambridgeshire_S_curve,Cheshire_S_curve,City of London_S_curve,Cornwall_S_curve,County Durham_S_curve,Cumbria_S_curve,Derbyshire_S_curve,Devon_S_curve,Dorset_S_curve,East Riding of Yorkshire_S_curve,East Sussex_S_curve,Essex_S_curve,Gloucestershire_S_curve,Greater London_S_curve,Greater Manchester_S_curve,Hampshire_S_curve,Herefordshire_S_curve,Hertfordshire_S_curve,Isle of Wight_S_curve,Kent_S_curve,Lancashire_S_curve,Leicestershire_S_curve,Lincolnshire_S_curve,Merseyside_S_curve,Norfolk_S_curve,North Yorkshire_S_curve,Northamptonshire_S_curve,Northumberland_S_curve,Nottinghamshire_S_curve,Oxfordshire_S_curve,Rutland_S_curve,Shropshire_S_curve,Somerset_S_curve,South Yorkshire_S_curve,Staffordshire_S_curve,Suffolk_S_curve,Surrey_S_curve,Tyne and Wear_S_curve,UK_S_curve,Warwickshire_S_curve,West Midlands_S_curve,West Sussex_S_curve,West Yorkshire_S_curve,Wiltshire_S_curve,Worcestershire_S_curve
2011 Q4,0.00019,0.00018,0.00009,0.00009,0.00017,0.00009,0.00058,0.00033,0.00014,0.00004,0.00006,0.00011,0.00015,0.00007,0.00012,0.00009,0.00009,0.00039,0.00015,0.0005,0.00008,0.00007,0.00014,0.00011,0.0001,0.00021,0.00007,0.00023,0.00009,0.00012,0.00014,0.00026,0.00008,0.00015,0.00005,0.00006,0.0001,0.00011,0.0001,0.00011,0.00013,0.00031,0.00022,0.00004,0.00016,0.00009,0.00008,0.0003,0.00029
2012 Q1,0.00021,0.0002,0.00009,0.0001,0.00018,0.0001,0.00063,0.00035,0.00015,0.00005,0.00007,0.00012,0.00016,0.00008,0.00013,0.0001,0.0001,0.00041,0.00016,0.00052,0.00009,0.00008,0.00015,0.00012,0.00011,0.00023,0.00008,0.00024,0.0001,0.00013,0.00015,0.00028,0.00009,0.00017,0.00005,0.00007,0.00011,0.00012,0.00011,0.00012,0.00014,0.00032,0.00023,0.00005,0.00018,0.0001,0.00008,0.00032,0.0003
2012 Q2,0.00022,0.00022,0.0001,0.00011,0.0002,0.00011,0.00067,0.00037,0.00016,0.00005,0.00008,0.00013,0.00018,0.00008,0.00014,0.00011,0.00012,0.00045,0.00018,0.00054,0.00009,0.00009,0.00017,0.00013,0.00012,0.00024,0.00009,0.00026,0.00011,0.00014,0.00016,0.0003,0.0001,0.00018,0.00006,0.00008,0.00013,0.00013,0.00012,0.00013,0.00015,0.00034,0.00025,0.00005,0.0002,0.00011,0.00009,0.00035,0.00032
2012 Q3,0.00024,0.00025,0.00011,0.00012,0.00022,0.00012,0.00072,0.0004,0.00018,0.00006,0.00009,0.00014,0.00019,0.00009,0.00016,0.00012,0.00013,0.00048,0.00019,0.00056,0.0001,0.0001,0.00018,0.00014,0.00013,0.00025,0.00009,0.00027,0.00012,0.00015,0.00017,0.00032,0.00011,0.0002,0.00007,0.00009,0.00014,0.00014,0.00013,0.00014,0.00017,0.00036,0.00027,0.00006,0.00021,0.00012,0.00011,0.00037,0.00034
2012 Q4,0.00026,0.00027,0.00012,0.00014,0.00025,0.00013,0.00078,0.00042,0.00019,0.00007,0.00009,0.00016,0.00021,0.0001,0.00017,0.00013,0.00014,0.00051,0.00021,0.00059,0.00011,0.00011,0.0002,0.00015,0.00014,0.00026,0.0001,0.00028,0.00013,0.00016,0.00018,0.00034,0.00012,0.00022,0.00007,0.00009,0.00015,0.00016,0.00013,0.00015,0.00018,0.00039,0.0003,0.00006,0.00023,0.00013,0.00012,0.0004,0.00036
2013 Q1,0.00028,0.0003,0.00013,0.00015,0.00027,0.00014,0.00084,0.00045,0.0002,0.00008,0.0001,0.00017,0.00023,0.00011,0.00019,0.00014,0.00016,0.00055,0.00022,0.00061,0.00012,0.00012,0.00022,0.00017,0.00016,0.00028,0.00011,0.0003,0.00014,0.00017,0.0002,0.00036,0.00013,0.00024,0.00008,0.0001,0.00016,0.00017,0.00015,0.00016,0.0002,0.00041,0.00032,0.00007,0.00025,0.00014,0.00013,0.00043,0.00037
2013 Q2,0.0003,0.00033,0.00015,0.00017,0.0003,0.00016,0.0009,0.00047,0.00022,0.00008,0.00011,0.00018,0.00025,0.00012,0.0002,0.00016,0.00018,0.00059,0.00024,0.00064,0.00013,0.00014,0.00024,0.00019,0.00017,0.00029,0.00012,0.00032,0.00015,0.00018,0.00021,0.00038,0.00014,0.00026,0.00009,0.00012,0.00018,0.00018,0.00016,0.00018,0.00022,0.00043,0.00035,0.00008,0.00027,0.00016,0.00015,0.00046,0.00039
2013 Q3,0.00032,0.00036,0.00016,0.00019,0.00033,0.00017,0.00097,0.0005,0.00023,0.00009,0.00013,0.0002,0.00027,0.00013,0.00022,0.00017,0.0002,0.00064,0.00027,0.00067,0.00014,0.00016,0.00026,0.0002,0.00018,0.00031,0.00013,0.00033,0.00016,0.00019,0.00023,0.0004,0.00015,0.00029,0.00009,0.00013,0.0002,0.0002,0.00017,0.00019,0.00024,0.00046,0.00038,0.00009,0.0003,0.00017,0.00017,0.00049,0.00042
2013 Q4,0.00035,0.0004,0.00018,0.00021,0.00037,0.00019,0.00104,0.00053,0.00025,0.0001,0.00014,0.00022,0.00029,0.00014,0.00024,0.00019,0.00022,0.00069,0.00029,0.0007,0.00015,0.00018,0.00028,0.00022,0.0002,0.00032,0.00014,0.00035,0.00018,0.00021,0.00025,0.00043,0.00017,0.00031,0.0001,0.00014,0.00021,0.00021,0.00018,0.00021,0.00026,0.00049,0.00041,0.0001,0.00033,0.00019,0.00018,0.00053,0.00044
2014 Q1,0.00038,0.00044,0.00019,0.00023,0.00041,0.00021,0.00112,0.00056,0.00027,0.00012,0.00015,0.00023,0.00031,0.00015,0.00027,0.00021,0.00024,0.00074,0.00031,0.00073,0.00017,0.0002,0.0003,0.00025,0.00022,0.00034,0.00015,0.00037,0.00019,0.00022,0.00027,0.00046,0.00018,0.00034,0.00011,0.00016,0.00023,0.00023,0.0002,0.00023,0.00028,0.00052,0.00044,0.00012,0.00035,0.00021,0.00021,0.00056,0.00046
