Quarter,Bedfordshire_total_vehicles,Bedfordshire_EVs,Bedfordshire_historic_percent_EV,Berkshire_total_vehicles,Berkshire_EVs,Berkshire_historic_percent_EV,Bristol_total_vehicles,Bristol_EVs,Bristol_historic_percent_EV,Buckinghamshire_total_vehicles,Buckinghamshire_EVs,Buckinghamshire_historic_percent_EV,Cambridgeshire_total_vehicles,Cambridgeshire_EVs,Cambridgeshire_historic_percent_EV,Cheshire_total_vehicles,Cheshire_EVs,Cheshire_historic_percent_EV,City of London_total_vehicles,City of London_EVs,City of London_historic_percent_EV,Cornwall_total_vehicles,Cornwall_EVs,Cornwall_historic_percent_EV,County Durham_total_vehicles,County Durham_EVs,County Durham_historic_percent_EV,Cumbria_total_vehicles,Cumbria_EVs,Cumbria_historic_percent_EV,Derbyshire_total_vehicles,Derbyshire_EVs,Derbyshire_historic_percent_EV,Devon_total_vehicles,Devon_EVs,Devon_historic_percent_EV,Dorset_total_vehicles,Dorset_EVs,Dorset_historic_percent_EV,East Riding of Yorkshire_total_vehicles,East Riding of Yorkshire_EVs,East Riding of Yorkshire_historic_percent_EV,East Sussex_total_vehicles,East Sussex_EVs,East Sussex_historic_percent_EV,Essex_total_vehicles,Essex_EVs,Essex_historic_percent_EV,Gloucestershire_total_vehicles,Gloucestershire_EVs,Gloucestershire_historic_percent_EV,Greater London_total_vehicles,Greater London_EVs,Greater London_historic_percent_EV,Greater Manchester_total_vehicles,Greater Manchester_EVs,Greater Manchester_historic_percent_EV,Hampshire_total_vehicles,Hampshire_EVs,Hampshire_historic_percent_EV,Herefordshire_total_vehicles,Herefordshire_EVs,Herefordshire_historic_percent_EV,Hertfordshire_total_vehicles,Hertfordshire_EVs,Hertfordshire_historic_percent_EV,Isle of Wight_total_vehicles,Isle of Wight_EVs,Isle of Wight_historic_percent_EV,Kent_total_vehicles,Kent_EVs,Kent_historic_percent_EV,Lancashire_total_vehicles,Lancashire_EVs,Lancashire_historic_percent_EV,Leicestershire_total_vehicles,Leicestershire_EVs,Leicestershire_historic_percent_EV,Lincolnshire_total_vehicles,Lincolnshire_EVs,Lincolnshire_historic_percent_EV,Merseyside_total_vehicles,Merseyside_EVs,Merseyside_historic_percent_EV,Norfolk_total_vehicles,Norfolk_EVs,Norfolk_historic_percent_EV,North Yorkshire_total_vehicles,North Yorkshire_EVs,North Yorkshire_historic_percent_EV,Northamptonshire_total_vehicles,Northamptonshire_EVs,Northamptonshire_historic_percent_EV,Northumberland_total_vehicles,Northumberland_EVs,Northumberland_historic_percent_EV,Nottinghamshire_total_vehicles,Nottinghamshire_EVs,Nottinghamshire_historic_percent_EV,Oxfordshire_total_vehicles,Oxfordshire_EVs,Oxfordshire_historic_percent_EV,Rutland_total_vehicles,Rutland_EVs,Rutland_historic_percent_EV,Shropshire_total_vehicles,Shropshire_EVs,Shropshire_historic_percent_EV,Somerset_total_vehicles,Somerset_EVs,Somerset_historic_percent_EV,South Yorkshire_total_vehicles,South Yorkshire_EVs,South Yorkshire_historic_percent_EV,Staffordshire_total_vehicles,Staffordshire_EVs,Staffordshire_historic_percent_EV,Suffolk_total_vehicles,Suffolk_EVs,Suffolk_historic_percent_EV,Surrey_total_vehicles,Surrey_EVs,Surrey_historic_percent_EV,Tyne and Wear_total_vehicles,Tyne and Wear_EVs,Tyne and Wear_historic_percent_EV,UK_total_vehicles,UK_EVs,UK_historic_percent_EV,Warwickshire_total_vehicles,Warwickshire_EVs,Warwickshire_historic_percent_EV,West Midlands_total_vehicles,West Midlands_EVs,West Midlands_historic_percent_EV,West Sussex_total_vehicles,West Sussex_EVs,West Sussex_historic_percent_EV,West Yorkshire_total_vehicles,West Yorkshire_EVs,West Yorkshire_historic_percent_EV,Wiltshire_total_vehicles,Wiltshire_EVs,Wiltshire_historic_percent_EV,Worcestershire_total_vehicles,Worcestershire_EVs,Worcestershire_historic_percent_EV
2011 Q4,651369,83,0.00013,898170,230,0.00026,335772,31,0.00009,1195426,169,0.00014,671815,134,0.0002,944063,94,0.0001,18565,10,0.00054,361911,102,0.00028,605587,108,0.00018,343616,14,0.00004,931870,93,0.0001,801657,131,0.00016,582628,97,0.00017,370848,35,0.00009,543578,86,0.00016,1316150,160,0.00012,873184,177,0.0002,3409296,2036,0.0006,1398596,252,0.00018,1408643,1475,0.00105,234819,24,0.0001,958337,99,0.0001,83370,11,0.00013,1091835,143,0.00013,1072952,112,0.0001,840616,255,0.0003,819926,77,0.00009,806693,195,0.00024,643909,70,0.00011,980225,157,0.00016,628544,72,0.00011,266538,89,0.00033,813757,82,0.0001,556152,148,0.00027,62194,7,0.00011,461585,33,0.00007,775692,122,0.00016,845239,144,0.00017,1090575,137,0.00013,656590,81,0.00012,1221701,231,0.00019,559757,139,0.00025,34228438,9924,0.00029,928411,97,0.0001,1820793,409,0.00022,673509,71,0.00011,1195661,112,0.00009,744151,182,0.00024,679901,85,0.00013
2012 Q1,652561,229,0.00035,903516,235,0.00026,337859,31,0.00009,1205813,176,0.00015,673098,136,0.0002,947974,101,0.00011,18533,10,0.00054,363006,110,0.0003,608538,83,0.00014,344142,15,0.00004,934967,84,0.00009,802848,135,0.00017,584578,103,0.00018,372204,35,0.00009,544889,85,0.00016,1319712,157,0.00012,882750,174,0.0002,3410470,1978,0.00058,1402365,250,0.00018,1418730,1387,0.00098,235492,26,0.00011,961820,97,0.0001,83448,10,0.00012,1094734,150,0.00014,1072605,125,0.00012,843627,259,0.00031,823853,77,0.00009,807938,196,0.00024,645043,80,0.00012,982768,163,0.00017,630544,75,0.00012,267371,91,0.00034,816472,82,0.0001,559919,189,0.00034,62477,6,0.0001,463152,31,0.00007,776195,122,0.00016,849113,140,0.00016,1091932,137,0.00013,657615,82,0.00012,1228896,235,0.00019,560495,157,0.00028,34347069,10214,0.0003,933034,96,0.0001,1816692,409,0.00023,675587,76,0.00011,1194979,120,0.0001,745049,192,0.00026,683084,79,0.00012
2012 Q2,657202,244,0.00037,914051,255,0.00028,341548,35,0.0001,1222937,179,0.00015,678767,141,0.00021,954227,98,0.0001,18439,15,0.00081,366459,117,0.00032,610858,89,0.00015,346849,16,0.00005,942365,91,0.0001,809770,132,0.00016,589484,114,0.00019,377880,37,0.0001,549297,79,0.00014,1328719,157,0.00012,891450,171,0.00019,3422391,1971,0.00058,1406459,268,0.00019,1432236,1304,0.00091,238039,27,0.00011,967455,88,0.00009,84062,16,0.00019,1103801,148,0.00013,1077937,137,0.00013,859534,260,0.0003,835315,79,0.00009,809933,202,0.00025,651530,77,0.00012,990832,156,0.00016,635517,79,0.00012,269068,89,0.00033,823687,82,0.0001,566102,216,0.00038,63069,8,0.00013,467800,33,0.00007,782907,123,0.00016,856701,125,0.00015,1098502,140,0.00013,664534,91,0.00014,1239208,241,0.00019,562860,178,0.00032,34590726,10522,0.0003,939554,50,0.00005,1816418,447,0.00025,680743,78,0.00011,1202705,130,0.00011,749391,204,0.00027,689078,159,0.00023
2012 Q3,661462,240,0.00036,915445,260,0.00028,351315,37,0.00011,1233627,201,0.00016,682393,150,0.00022,959049,105,0.00011,18258,15,0.00082,368364,132,0.00036,613003,85,0.00014,348033,15,0.00004,948121,93,0.0001,815220,123,0.00015,592505,118,0.0002,375962,32,0.00009,552717,86,0.00016,1336498,158,0.00012,904070,168,0.00019,3427076,1947,0.00057,1413892,270,0.00019,1438970,1206,0.00084,239228,28,0.00012,972944,91,0.00009,84445,18,0.00021,1110761,153,0.00014,1082553,136,0.00013,860162,261,0.0003,837223,79,0.00009,812970,213,0.00026,655771,78,0.00012,995801,165,0.00017,639725,78,0.00012,270499,90,0.00033,829659,82,0.0001,569234,216,0.00038,63489,8,0.00013,470570,42,0.00009,786162,118,0.00015,856470,130,0.00015,1104833,138,0.00012,669339,95,0.00014,1244223,236,0.00019,565965,173,0.00031,34722311,10513,0.0003,949929,52,0.00005,1817403,454,0.00025,683827,80,0.00012,1209676,130,0.00011,753974,257,0.00034,693156,176,0.00025
2012 Q4,657348,103,0.00016,918547,276,0.0003,352776,39,0.00011,1230907,212,0.00017,677469,152,0.00022,951622,114,0.00012,18130,14,0.00077,365215,143,0.00039,607810,86,0.00014,344337,15,0.00004,937839,93,0.0001,809534,126,0.00016,587670,129,0.00022,371788,35,0.00009,548377,88,0.00016,1327726,170,0.00013,899560,171,0.00019,3406025,1966,0.00058,1403622,270,0.00019,1438298,1149,0.0008,237380,30,0.00013,968826,97,0.0001,83805,18,0.00021,1102997,155,0.00014,1073338,140,0.00013,847714,266,0.00031,828510,81,0.0001,807618,216,0.00027,650200,77,0.00012,985925,164,0.00017,635670,194,0.00031,267835,90,0.00034,823307,85,0.0001,564085,104,0.00018,63140,6,0.0001,467035,45,0.0001,779583,119,0.00015,848368,129,0.00015,1091779,140,0.00013,663310,106,0.00016,1239301,252,0.0002,561152,190,0.00034,34522149,11034,0.00032,944078,48,0.00005,1799308,506,0.00028,678683,84,0.00012,1200072,141,0.00012,749227,311,0.00042,689506,365,0.00053
2013 Q1,657608,101,0.00015,926430,269,0.00029,358939,35,0.0001,1239426,222,0.00018,676776,146,0.00022,952099,125,0.00013,18061,17,0.00094,365030,165,0.00045,608900,89,0.00015,344414,16,0.00005,978188,87,0.00009,808439,129,0.00016,587375,141,0.00024,371744,35,0.00009,547508,95,0.00017,1328819,178,0.00013,903497,174,0.00019,3405109,1974,0.00058,1404922,277,0.0002,1449061,1103,0.00076,236583,30,0.00013,970191,101,0.0001,83505,17,0.0002,1102165,164,0.00015,1072514,144,0.00013,852912,260,0.0003,827268,85,0.0001,807152,221,0.00027,648547,78,0.00012,985931,172,0.00017,635656,201,0.00032,267458,90,0.00034,824084,89,0.00011,566409,106,0.00019,62998,5,0.00008,466968,47,0.0001,777400,118,0.00015,848116,128,0.00015,1087280,134,0.00012,662802,108,0.00016,1242532,254,0.0002,558312,198,0.00035,34569042,11257,0.00033,938739,53,0.00006,1793196,542,0.0003,678596,91,0.00013,1200537,140,0.00012,750039,423,0.00056,690173,362,0.00052
2013 Q2,665261,96,0.00014,940156,275,0.00029,365958,38,0.0001,1260688,225,0.00018,685056,142,0.00021,962568,149,0.00015,17968,16,0.00089,369993,195,0.00053,616309,98,0.00016,349242,19,0.00005,994270,107,0.00011,820968,136,0.00017,594691,154,0.00026,377218,42,0.00011,554010,94,0.00017,1344892,187,0.00014,918415,174,0.00019,3435700,2002,0.00058,1419394,323,0.00023,1470805,1049,0.00071,240510,32,0.00013,980840,112,0.00011,84766,20,0.00024,1117666,180,0.00016,1085104,156,0.00014,875932,268,0.00031,841643,101,0.00012,813657,253,0.00031,658398,88,0.00013,1000510,185,0.00018,646511,186,0.00029,271073,95,0.00035,836560,94,0.00011,574278,118,0.00021,64091,1,0.00002,474405,54,0.00011,788664,125,0.00016,860191,89,0.0001,1101657,150,0.00014,673049,120,0.00018,1258819,250,0.0002,564401,201,0.00036,34975138,11892,0.00034,917258,63,0.00007,1812509,568,0.00031,686652,101,0.00015,1215472,155,0.00013,760583,497,0.00065,700538,405,0.00058
2013 Q3,668935,107,0.00016,935982,300,0.00032,370156,44,0.00012,1263229,223,0.00018,688150,159,0.00023,966664,149,0.00015,17993,17,0.00094,372619,215,0.00058,620752,111,0.00018,350575,27,0.00008,998123,105,0.00011,826809,147,0.00018,597585,146,0.00024,380850,46,0.00012,557730,104,0.00019,1352494,198,0.00015,926607,183,0.0002,3443186,2020,0.00059,1425163,385,0.00027,1470243,873,0.00059,241528,33,0.00014,987081,116,0.00012,85080,23,0.00027,1124217,193,0.00017,1087904,168,0.00015,872810,264,0.0003,848141,102,0.00012,817594,307,0.00038,661931,94,0.00014,1005643,189,0.00019,650860,175,0.00027,272233,100,0.00037,842499,94,0.00011,575405,114,0.0002,64618,5,0.00008,477414,58,0.00012,792870,136,0.00017,866868,88,0.0001,1106928,159,0.00014,677174,127,0.00019,1258404,271,0.00022,565773,198,0.00035,35054098,12256,0.00035,876748,66,0.00008,1776467,578,0.00033,690315,115,0.00017,1189823,158,0.00013,763679,547,0.00072,703492,540,0.00077
2013 Q4,664482,114,0.00017,935792,315,0.00034,370207,50,0.00014,1259699,250,0.0002,775729,167,0.00022,960128,165,0.00017,17941,16,0.00089,369134,233,0.00063,616594,117,0.00019,347230,30,0.00009,993147,108,0.00011,821386,154,0.00019,592751,149,0.00025,377194,49,0.00013,553907,115,0.00021,1342893,206,0.00015,921520,192,0.00021,3427479,2103,0.00061,1420308,398,0.00028,1465217,874,0.0006,238858,31,0.00013,983693,131,0.00013,84373,27,0.00032,1116804,206,0.00018,1080872,171,0.00016,863363,265,0.00031,838741,102,0.00012,814197,309,0.00038,655249,97,0.00015,995945,192,0.00019,645512,163,0.00025,269381,65,0.00024,835567,108,0.00013,570544,138,0.00024,63987,5,0.00008,473642,63,0.00013,786510,139,0.00018,859529,192,0.00022,1098475,174,0.00016,671364,133,0.0002,1256804,284,0.00023,561516,208,0.00037,34970220,12889,0.00037,861962,74,0.00009,1762778,594,0.00034,686422,125,0.00018,1178444,239,0.0002,761018,595,0.00078,697703,500,0.00072
2014 Q1,670131,110,0.00016,942513,371,0.00039,375694,79,0.00021,1279305,286,0.00022,782699,242,0.00031,966466,180,0.00019,17999,15,0.00083,371424,243,0.00065,621159,131,0.00021,349883,42,0.00012,994547,114,0.00011,822986,169,0.00021,596269,168,0.00028,380458,52,0.00014,557816,125,0.00022,1352597,233,0.00017,929578,194,0.00021,3447778,2215,0.00064,1429376,442,0.00031,1473271,900,0.00061,240199,33,0.00014,989921,161,0.00016,84648,28,0.00033,1124682,228,0.0002,1088161,191,0.00018,873753,264,0.0003,847522,119,0.00014,818765,318,0.00039,659803,102,0.00015,1003056,208,0.00021,653383,171,0.00026,271274,83,0.00031,842038,132,0.00016,574196,156,0.00027,64422,5,0.00008,477590,66,0.00014,791923,161,0.0002,866615,224,0.00026,1105903,186,0.00017,675991,144,0.00021,1262456,293,0.00023,566001,232,0.00041,35230664,14107,0.0004,868138,76,0.00009,1783035,631,0.00035,691498,137,0.0002,1186817,258,0.00022,769126,676,0.00088,702732,550,0.00078
