year,East,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2011-10-01,2944300.0,2166500.0,2542700.0,1040099.9999999999,3006500.0,4605900.0,2789100.0,2823900.0,2249000.0
2012-01-01,2954800.0,2174900.0,2544600.0,1042300.0,3007600.0,4632100.0,2799800.0,2827000.0,2256700.0
2012-04-01,2971200.0,2194300.0,2551000.0,1043700.0,3011400.0,4667000.0,2813600.0,2832100.0,2267200.0
2012-07-01,2990200.0,2202900.0,2551600.0,1048900.0,3024200.0,4691400.0,2834700.0,2842500.0,2275500.0
2012-10-01,2978800.0,2183900.0,2535500.0,1043300.0,3008200.0,4683800.0,2822700.0,2824300.0,2262400.0
2013-01-01,2988500.0,2196900.0,2537900.0,1045700.0,3015700.0,4711800.0,2831400.0,2825900.0,2268400.0
2013-04-01,3015900.0,2230900.0,2557900.0,1054300.0,3039800.0,4767000.0,2862000.0,2853600.0,2289600.0
2013-07-01,3105000.0,2235500.0,2560200.0,1059100.0,3051700.0,4781800.0,2881300.0,2823600.0,2274200.0
2013-10-01,3103900.0,2221900.0,2549300.0,1054600.0,3042700.0,4770600.0,2872800.0,2805700.0,2260500.0
2014-01-01,3128900.0,2239600.0,2565100.0,1062800.0,3063900.0,4809200.0,2894900.0,2831100.0,2278200.0
2014-04-01,3163300.0,2275400.0,2591700.0,1071900.0,3089400.0,4866200.0,2932300.0,2857100.0,2299400.0
2014-07-01,3169400.0,2268500.0,2591700.0,1072800.0,3092300.0,4870600.0,2940200.0,2861400.0,2302200.0
2014-10-01,3165700.0,2259600.0,2576100.0,1069900.0,3085200.0,4853300.0,2934500.0,2853800.0,2292900.0
2015-01-01,3198300.0,2291500.0,2598300.0,1077200.0,3107800.0,4893300.0,2958500.0,2886100.0,2316200.0
2015-04-01,3225700.0,2307100.0,2619900.0,1083600.0,3122900.0,4941100.0,2986900.0,2910000.0,2328900.0
2015-07-01,3244600.0,2310400.0,2626700.0,1087400.0,3134200.0,4955300.0,3009800.0,2924900.0,2342500.0
2015-10-01,3247100.0,2303700.0,2623500.0,1084700.0,3127600.0,4950400.0,3009800.0,2924300.0,2336300.0
2016-01-01,3290200.0,2334200.0,2650300.0,1096800.0,3162300.0,5024500.0,3044100.0,2968500.0,2367600.0
2016-04-01,3307800.0,2344800.0,2657600.0,1098800.0,3166300.0,5061700.0,3040100.0,2979500.0,2391800.0
2016-07-01,3322200.0,2345600.0,2657300.0,1102200.0,3152800.0,5076900.0,3077300.0,2994900.0,2399100.0
2016-10-01,3342400.0,2358900.0,2668200.0,1106800.0,3171900.0,5107300.0,3099000.0,3017900.0,2410900.0
2017-01-01,3359100.0,2375600.0,2676200.0,1112900.0,3189700.0,5135000.0,3135700.0,3045800.0,2427600.0
2017-04-01,3371900.0,2402300.0,2683600.0,1117800.0,3203500.0,5164100.0,3149100.0,3061700.0,2442400.0
2017-07-01,3382200.0,2404300.0,2682300.0,1123300.0,3221100.0,5172500.0,3164900.0,3078900.0,2458200.0
2017-10-01,3365600.0,2389500.0,2665900.0,1119700.0,3214800.0,5149700.0,3156100.0,3063400.0,2450600.0
2018-01-01,3367800.0,2399600.0,2665500.0,1122200.0,3225500.0,5177500.0,3169600.0,3071800.0,2465000.0
2018-04-01,3379500.0,2425300.0,2679100.0,1128900.0,3243200.0,5216800.0,3189000.0,3087300.0,2482300.0
2018-07-01,3374500.0,2428500.0,2674300.0,1133700.0,3261500.0,5229300.0,3213700.0,3094300.0,2497700.0
2018-10-01,3364400.0,2420900.0,2661200.0,1132700.0,3261200.0,5208100.0,3213800.0,3080400.0,2496600.0
2019-01-01,3379700.0,2437600.0,2666600.0,1139500.0,3282100.0,5236100.0,3251000.0,3072000.0,2517000.0
2019-04-01,3396100.0,2464900.0,2675000.0,1146600.0,3300700.0,5262300.0,3273200.0,3075500.0,2535300.0
2019-07-01,3410400.0,2471400.0,2672900.0,1155200.0,3323400.0,5270500.0,3292700.0,3083300.0,2554000.0
2019-10-01,3402900.0,2458700.0,2661000.0,1153200.0,3318700.0,5248500.0,3288500.0,3067700.0,2546800.0
2020-01-01,3417700.0,2465000.0,2659100.0,1160900.0,3335400.0,5250800.0,3301800.0,3078600.0,2563700.0
2020-04-01,3378000.0,2433500.0,2628100.0,1148600.0,3293400.0,5176000.0,3245000.0,3053800.0,2532400.0
2020-07-01,3405300.0,2455000.0,2658000.0,1161000.0,3539400.0,5216300.0,3271600.0,2878700.0,2553700.0
2020-10-01,3393700.0,2445000.0,2648100.0,1158900.0,3522900.0,5203100.0,3253500.0,2864000.0,2546900.0
2021-01-01,3386400.0,2448600.0,2633700.0,1159700.0,3512900.0,5182300.0,3248300.0,2859900.0,2549000.0
2021-04-01,3422800.0,2480000.0,2645200.0,1170600.0,3538100.0,5238800.0,3282900.0,2887200.0,2575600.0
2021-07-01,3422700.0,2480700.0,2620600.0,1171200.0,3532600.0,5236300.0,3282800.0,2881200.0,2574700.0
