,East,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2011-10-01,6.829779849497212e-05,4.28973793019715e-05,0.00018289041813352727,0.0001008481600051776,2.719879472346539e-05,6.475170114857315e-05,7.190074982761576e-05,9.469789175049658e-05,4.246082041771147e-05
2012-01-01,7.694989997805624e-05,4.8429292069004276e-05,0.00020295613262874375,0.0001111464317301477,3.1431473209269395e-05,7.372018100141113e-05,8.153464921732989e-05,0.00010507809886071214,4.827442111303373e-05
2012-04-01,8.669795514758165e-05,5.4674537231742056e-05,0.00022522276171826235,0.00012249617643061617,3.63228132916953e-05,8.393072379096366e-05,9.245924336528358e-05,0.00011659596506700507,5.488395015574066e-05
2012-07-01,9.768075732185646e-05,6.1725085404266e-05,0.0002499315784142282,0.0001350047189462403,4.197530211530199e-05,9.555530899691137e-05,0.0001048474120256758,0.0001293761404403683,6.23983614529454e-05
2012-10-01,0.00011005466871138677,6.9684761599449e-05,0.0002773502737829536,0.00014879033188084064,4.850737056354039e-05,0.0001087897180941428,0.00011889517953656754,0.00014355692425951764,7.094151911335278e-05
2013-01-01,0.0001239958421581617,7.867077223238107e-05,0.0003077758423416544,0.00016398335083961558,5.605587253472989e-05,0.0001238568255666987,0.00013482481006000597,0.00015929175767200596,8.065423660191973e-05
2013-04-01,0.00013970272324421122,8.881542856134522e-05,0.0003415377809253064,0.00018072740295256283,6.477894939283596e-05,0.000141010344014002,0.00015288831582544517,0.00017675087914465184,9.169659439753778e-05
2013-07-01,0.00015739886799147844,0.00010026809176496276,0.0003790016346908644,0.0001991807601226125,7.485933931335329e-05,0.00016053908572500564,0.0001733714332157165,0.0001961231603537585,0.00010425057408080951
2013-10-01,0.00017733611575704213,0.00011319736806688267,0.0004205729274516996,0.00021951782957705028,8.650820046392383e-05,0.00018277181158101447,0.00019659812873950837,0.0002176181420554202,0.00011852305191168055
2014-01-01,0.00019979816184329907,0.00012779358593633424,0.00046670151740878685,0.00024193079555129166,9.996952758837969e-05,0.00020808274776259585,0.00022293570506349335,0.00024146829156278555,0.0001347492007745177
2014-04-01,0.00022510457985364216,0.00014427159146335872,0.0005178864235961283,0.0002666314273049391,0.00011552525381270561,0.00023689786162316056,0.0002528005864430208,0.0002679315057596846,0.00015319635595984515
2014-07-01,0.00025361534999856003,0.00016287390258654493,0.0005746811730166794,0.0002938530701720881,0.0001335011436030248,0.00026970200041024836,0.0002866648732166896,0.0002972938861192128,0.000174168407716664
2014-10-01,0.00028573595646966455,0.00018387426799967998,0.000637699723542921,0.0003238528379925193,0.00015427359905394492,0.0003070470104409411,0.0003250637666533227,0.00032987281499407455,0.0001980107919580471
2015-01-01,0.0003219231247316555,0.00020758168234964727,0.000707623023224977,0.00035691402706998455,0.00017827752038306478,0.00034956097006348034,0.0003686039785090871,0.00036602036552663375,0.00022511616005917406
2015-04-01,0.0003626912782235934,0.00023434491583603648,0.0007852062727202575,0.00039334877377136845,0.0002060153830087762,0.0003979586874746522,0.0004179732543297514,0.00040612708091628425,0.0002559308194885067
